DNS Server,Result
211.75.132.159,38.58.100.6
203.69.37.73,38.58.100.6
211.75.76.173,38.58.100.6
218.161.40.163,38.58.100.6
211.22.135.108,210.64.24.25
211.23.246.116,38.58.100.6
113.196.55.130,210.64.24.25
114.33.89.166,210.64.24.25
59.125.210.128,38.58.100.6
1.34.173.230,38.58.100.6
59.120.1.176,38.58.100.6
61.66.219.254,38.58.100.6
210.64.204.241,210.64.24.25
59.124.69.19,38.58.100.6
220.128.136.186,38.58.100.6
60.250.224.69,38.58.100.6
59.124.17.180,38.58.100.6
211.20.169.17,210.64.24.25
168.95.192.1,210.64.24.25
203.187.1.1,210.64.24.25
59.124.57.254,210.64.24.25
60.250.37.202,38.58.100.6
114.33.41.219,38.58.100.6
203.69.248.73,210.64.24.25
114.32.23.229,210.64.24.25
202.39.28.187,38.58.100.6
220.135.152.111,38.58.100.6
59.120.242.70,38.58.100.6
220.135.20.47,210.64.24.25
59.127.14.61,210.64.24.25
61.220.24.61,210.64.24.25
60.248.142.199,38.58.100.6
168.95.1.1,210.64.24.25
59.126.247.45,210.64.24.25
220.135.45.76,38.58.100.6
101.102.103.104,210.64.24.25
61.57.229.2,38.58.100.6
59.125.155.62,210.64.24.25
61.57.229.1,38.58.100.6
61.221.26.25,210.64.24.25
60.251.117.118,210.64.24.25
59.124.224.145,38.58.100.6
125.228.169.101,210.64.24.25
60.250.91.118,210.64.24.25
220.132.88.194,no_answer
123.51.244.77,no_answer
60.248.10.164,38.58.100.6
113.61.224.13,38.58.100.6
61.221.233.7,210.64.24.25
61.220.233.8,38.58.100.6
118.163.40.163,no_answer
59.125.246.99,no_answer
60.248.225.123,no_answer
220.128.192.101,38.58.100.6
60.249.204.223,38.58.100.6
125.227.235.49,210.64.24.25
61.222.152.151,no_answer
220.134.143.124,38.58.100.6
60.248.242.133,38.58.100.6
211.22.146.115,38.58.100.6
60.248.191.22,38.58.100.6
211.72.95.74,210.64.24.25
220.132.45.70,210.64.24.25
60.249.113.45,38.58.100.6
60.248.22.13,38.58.100.6
59.120.84.217,38.58.100.6
125.228.209.195,All nameservers failed to answer the query avjoy.me. IN A: Server Do53:125.228.209.195@53 answered REFUSED
59.120.114.71,38.58.100.6
59.120.61.98,38.58.100.6
211.21.220.171,38.58.100.6
2001:b000:168::1,210.64.24.25
211.76.112.59,38.58.100.6
59.127.119.1,38.58.100.6
220.135.28.237,210.64.24.25
211.20.230.200,38.58.100.6
1.34.77.44,38.58.100.6
210.243.121.155,210.64.24.25
59.125.229.34,38.58.100.6
1.34.58.188,210.64.24.25
122.117.151.111,38.58.100.6
125.227.89.44,38.58.100.6
